Missile_ID,Missile_Name,Alternate_Name,Country_of_Origin,Country_of_Possession,Missile_Class,Missile_Type,Length_m,Launch_Weight_kg,Warhead_Type,Range_min_km,Range_max_km,Year_Introduced,Operational_Status,Launch_Basing,Diameter_m,Payload_kg,Propulsion_Type,Notes,
ISR001,Jericho-I,YA-1,Israel,Israel,Short-Range Ballistic Missile,Strike,13.4,6500,"Nuclear, HE",500,500,1973,Operational,Road/rail-mobile,0.8,1000,Single-stage solid propellant,First Israeli indigenous ballistic missile; 50 believed nuclear-capable,
ISR002,Jericho-II,YA-2,Israel,Israel,Medium-Range Ballistic Missile,Strike,14,13000,"Nuclear, HE",1500,1500,1990,Operational,Road/rail-mobile,1,1000,Two-stage solid propellant,Improved range variant; approximately 50 nuclear-capable missiles deployed,
ISR003,Jericho-III,YA-3,Israel,Israel,Intermediate-Range Ballistic Missile,Strike,15.5,30000,"Nuclear, HE",4800,6500,2011,Operational,Road/rail-mobile,1.5,1150,Three-stage solid propellant,Longest-range Israeli ballistic missile,
ISR004,ROCKS,Air-Launched Ballistic Missile,Israel,Israel,Air-Launched Ballistic Missile,Strike,5,,Blast-fragmentation/Penetration,250,250,2020,Operational,Air-launched,0.5,500,Solid propellant,3m CEP accuracy; INS/GPS + electro-optical guidance,
ISR005,Golden Horizon,ALBM/Sparrow derivative,Israel,Israel,Air-Launched Ballistic Missile,Strike,8.3,3100,Penetration warhead,1000,2000,2025,Operational,Air-launched,0.8,,Two-stage solid propellant,Hypersonic speeds (Mach 5+); offered to India,
ISR006,RAMPAGE,Air-Launched Missile,Israel,Israel,Air-to-Surface Missile,Strike,4.7,570,High explosive,150,250,2020,Operational,Air-launched,0.3,150,Solid propellant,Based on ground-launched artillery rocket technology,
ISR007,Popeye,AGM-142 Have Nap,Israel,Israel,Air-to-Surface Cruise Missile,Strike,4.8,1360,"HE blast/penetration, nuclear-capable",80,80,1985,Operational,Air-launched,0.5,360,Turbojet,"Precision stand-off missile; exported to US, Turkey, South Korea",
ISR008,Delilah,Star-1,Israel,Israel,Air-Launched Cruise Missile,Strike,2.7,187,HE fragmentation,250,250,1995,Operational,"Air, surface, sea-launched",0.3,30,Turbojet,"Multi-platform loitering missile; can search, identify, attack targets",
ISR009,Gabriel V,Advanced Gabriel,Israel,Israel,Anti-Ship Cruise Missile,Strike,5.5,1250,HE blast/penetration,400,400,2020,Operational,"Ship, ground-launched",0.4,150,Turbojet + booster,5th generation sea-skimming missile; networked warfare capability,
ISR010,Barak 8,LRSAM,Israel/India,Israel/India,Surface-to-Air Missile,Interceptor,4.5,275,HE blast-fragmentation,70,100,2017,Operational,"Ship, ground-launched",0.2,60,Two-stage solid propellant,Long-range SAM; developed with DRDO,
ISR011,Barak ER,Extended Range,Israel,Israel,Surface-to-Air Missile,Interceptor,4.5,280,HE blast-fragmentation,150,150,2023,Operational,Vertical launch,0.2,60,Two-stage solid propellant,Extended range variant with larger booster,
ISR012,Iron Dome Interceptor,Tamir,Israel,Israel,Short-Range Air Defense,Interceptor,3,90,HE blast-fragmentation,4,70,2011,Operational,"Ground, ship",0.15,11,Solid propellant,"Designed to intercept rockets, mortars, drones; $40,000 per missile",
ISR013,C-Dome,Sea-Iron Dome,Israel,Israel,Naval Air Defense,Interceptor,3,90,HE blast-fragmentation,4,70,2017,Operational,Ship-launched,0.15,11,Solid propellant,Naval version of Iron Dome; first operational use 2024,
ISR014,David's Sling,Stunner,Israel/US,Israel,Medium-Range Air Defense,Interceptor,4.6,280,Kinetic hit-to-kill,40,300,2017,Operational,Ground-launched,0.3,,Two-stage solid propellant,Co-developed with Raytheon; hit-to-kill technology,
ISR015,David's Sling,SkyCeptor,Israel/US,Israel,Medium-Range Air Defense,Interceptor,4.6,280,Kinetic hit-to-kill,40,300,2017,Operational,Ground-launched,0.3,,Two-stage solid propellant,Export version of Stunner,
ISR016,Arrow 2,Hetz 2,Israel/US,Israel,Upper-Tier Air Defense,Interceptor,6.8,1300,Fragmentation warhead,90,90,2000,Operational,Ground-launched,0.8,,Two-stage solid propellant,Terminal phase interception in upper atmosphere; altitude 50km,
ISR017,Arrow 3,Hetz 3,Israel/US,Israel,Exo-Atmospheric Air Defense,Interceptor,6.8,1400,Kinetic hit-to-kill,2400,2400,2017,Operational,Ground-launched,0.8,,Three-stage solid propellant,Exo-atmospheric interception; altitude 100km+; hypersonic interceptor,
ISR018,Arrow 4,Hetz 4,Israel/US,Israel,Next-Generation Air Defense,Interceptor,7,1500,Kinetic hit-to-kill,3000,3000,2025,In development,Ground-launched,0.8,,Advanced solid propellant,Advanced version of Arrow 3 with enhanced capabilities,
ISR019,Sparrow Family,Silver Sparrow,Israel,Israel,Target Missile,Target/Test,8.3,3100,Test instrumentation,2000,2000,2000,Operational,Air-launched,0.8,,Two-stage solid propellant,Family of target missiles simulating ballistic threats for Arrow testing,
ISR020,Blue Sparrow,Sparrow variant,Israel,Israel,Target Missile,Target/Test,8.3,3100,Test instrumentation,2000,2000,2010,Operational,Air-launched,0.8,,Two-stage solid propellant,Simulates Iraqi Scud and Iranian Shahab missiles,
ISR021,LORA,Loitering Ordnance,Israel,Israel,Quasi-Ballistic Missile,Strike,5.2,1600,"HE blast/penetration, submunitions",400,400,2015,Operational,"Ground, ship-launched",0.6,400,Single-stage solid propellant,10m CEP; ship and land-attack missile,
ISR022,EXTRA,Extra Range Artillery,Israel,Israel,Long-Range Artillery Rocket,Strike,5.2,1300,"HE blast/penetration, submunitions",150,150,2010,Operational,Ground-launched,0.3,120,Solid propellant,INS/GPS guidance; 10m CEP,
ISR023,Predator Hawk,Loitering Missile,Israel,Israel,Loitering Munition,Strike,2.5,150,HE blast,300,300,2020,Operational,Ground/air-launched,0.2,30,Propeller engine,Long-range loitering munition; can orbit for hours before striking,
ISR024,Nimrod,Family of Missiles,Israel,Israel,Precision Guided Missile,Strike,2.5,100,"HEAT, HE blast",26,50,1990,Operational,"Ground, air, sea-launched",0.15,22.5,Solid propellant,Family of long-range precision missiles; various sizes,
ISR025,Spike NLOS,Long-Range Missile,Israel,Israel,Multi-Purpose Guided Missile,Strike,1.7,70,"HEAT, HE blast, penetration",32,32,2010,Operational,"Ground, air, sea-launched",0.17,8,Solid propellant,Non-line-of-sight precision missile; fiber-optic/RF guidance,
ISR026,Sea Breaker,5th Gen Missile,Israel,Israel,Long-Range Precision Missile,Strike,4,400,HE blast/penetration,300,300,2023,Operational,"Ship, ground-launched",0.3,100,Turbojet,5th generation autonomous missile; advanced target recognition,
