Missile_ID,Missile_Name,Alternate_Name,Country_of_Origin,Country_of_Possession,Missile_Class,Missile_Type,Length_m,Launch_Weight_kg,Warhead_Type,Range_min_km,Range_max_km,Year_Introduced,Operational_Status,Launch_Basing,Diameter_m,Payload_kg,Propulsion_Type,Notes,Unnamed: 19,Range_Category,Decade
CHN011,DF-17,CSS-Unknown,China,China,MRBM/Hypersonic,Strike,,,DF-ZF hypersonic glide vehicle,2500.0,2500.0,2019.0,Active,Mobile TEL,,,Solid,First public display 2019; nuclear-capable,,Intermediate Range,2010
CHN016,DF-26D,CSS-Unknown,China,China,Intermediate-Range Ballistic Missile,Strike,,,,5000.0,5000.0,2025.0,Active,Mobile TEL,,,Solid,Declassified in 2025 parade,,Long Range,2020
CHN003,DF-3,CSS-2,China,China,Medium-Range Ballistic Missile,Strike,,,Nuclear,2800.0,5000.0,1988.0,Active,Land-based TEL,,2150,Liquid,Exported to Saudi Arabia 1988,,Long Range,1980
CHN018,DF-31,CSS-10,China,China,Intercontinental Ballistic Missile,Strike,,,Nuclear,8000.0,11200.0,1999.0,Active,Mobile TEL,,700,Solid,First test-fired 1999,,Intercontinental Range,1990
CHN021,DF-31BJ,CSS-10 Mod 4,China,China,Intercontinental Ballistic Missile,Strike,,,Nuclear,11200.0,11200.0,2025.0,Active,Mobile TEL,,,Solid,Declassified in 2025 parade,,Intercontinental Range,2020
CHN007,DF-5C,CSS-4 Mod 3,China,China,Intercontinental Ballistic Missile,Strike,,,MIRV nuclear,13000.0,13000.0,2025.0,Active,Silo-based,,,Liquid,Declassified in 2025 parade,,Intercontinental Range,2020
CHN026,JL-3,CSS-N-Unknown,China,China,Submarine-Launched Ballistic Missile,Strike,,,Nuclear MIRV-capable,8000.0,8000.0,2025.0,Active,Submarine (Type 096 planned),,,Solid,Declassified in 2025 parade,,Intercontinental Range,2020
CHN031,YJ-15,,China,China,Anti-Ship Cruise Missile,Strike,,,HE,1200.0,1800.0,2025.0,Active,Air (J-15 carrier fighter),,,Ramjet,Newest carrier-based ASM,,Intermediate Range,2020
PAK026,Bakhtar Shikan,HJ-8 derivative,China,Pakistan,Anti-Tank Guided Missile,ATGM,,,HE tandem shaped charge,3.0,5.0,2015.0,Active,Man-portable/Vehicle,,,Solid propellant,Chinese HJ-8 license production,,Short Range,2010
PAK022,C-602,,China,Pakistan,Anti-Ship Cruise Missile,Strike,6.1,,HE,280.0,400.0,2015.0,Active,Coastal defence/Ship,0.54,,Turbojet,Chinese-origin; MTCR-compliant variant,,Medium Range,2010
PAK023,CM-302,,China,Pakistan,Supersonic Anti-Ship Missile,Strike,,,HE,290.0,290.0,2020.0,Active,Ship,,,Ramjet,Chinese-origin YJ-12 variant; Mach 3.5,,Short Range,2020
PAK024,CM-400AKG,,China,Pakistan,Hypersonic Air-Launched Missile,Strike,,,HE,250.0,250.0,2015.0,Active,Air,,,Solid propellant,Mach 5+; air-launched; anti-ship/land attack,,Short Range,2010
FRA019,AASM Hammer,Armement Air-Sol Modulaire,France,France,Precision-Guided Bomb,Strike,3.1,125.0,HE,15.0,70.0,2007.0,Active,Air-launched,0.25,,Solid rocket booster,Modular air-to-ground weapon,,Short Range,2000
FRA005,ASMPA,Air-Sol Moyenne Portée Amélioré,France,France,Air-Launched Cruise Missile,Nuclear Strike,5.4,860.0,Nuclear,500.0,600.0,2009.0,Active,Air-launched,0.38,,Ramjet,Air-breathing nuclear missile; 50 TNA warheads,,Medium Range,2000
FRA010,Exocet AM39,,France,France,Anti-Ship Cruise Missile,Strike,4.69,670.0,HE semi-armor piercing,40.0,180.0,1975.0,Active,Air-launched,0.35,165,Solid,Air-launched anti-ship missile,,Short Range,1970
FRA011,Exocet MM40 Block 3,,France,France,Anti-Ship Cruise Missile,Strike,5.8,870.0,HE,200.0,200.0,2008.0,Active,Ship/Coastal defense,0.35,165,Turbojet,Latest ship-launched Exocet,,Short Range,2000
FRA004,M45,,France,France,Submarine-Launched Ballistic Missile,Strike,11.1,35000.0,Nuclear,6000.0,6000.0,1996.0,Retired,Submarine,1.93,,Solid,Retired 2023,,Intercontinental Range,1990
FRA002,M51.2,,France,France,Submarine-Launched Ballistic Missile,Strike,12.0,52000.0,Nuclear,9000.0,9000.0,2017.0,Active,Submarine,2.3,,Three-stage solid,Previous SLBM variant,,Intercontinental Range,2010
FRA001,M51.3,,France,France,Submarine-Launched Ballistic Missile,Strike,12.0,52000.0,Nuclear,9500.0,9500.0,2025.0,Active,Submarine,2.3,,Three-stage solid,"Latest SLBM variant; improved range, accuracy",,Intercontinental Range,2020
FRA014,MICA,,France,France,Air-to-Air Missile,AAM,3.1,112.0,HE blast-fragmentation,20.0,60.0,1996.0,Active,Air-launched,0.16,,Solid,Being replaced by MICA NG,,Short Range,1990
FRA007,MdCN,Missile de Croisière Naval,France,France,Land-Attack Cruise Missile,Strike,6.5,1400.0,HE,1000.0,1000.0,2015.0,Active,Ship-launched,0.5,300,Turbojet,European Tomahawk equivalent,,Intermediate Range,2010
FRA015,Mistral,,France,France,Short-Range Air Defense,MAMPADS,1.86,19.5,HE with tungsten balls,6.0,6.0,1988.0,Active,Man-portable/Vehicle/Helicopter,0.09,2.95,Solid,3rd generation since 2019,,Short Range,1980
FRA016,VL MICA,,France,France,Surface-to-Air Missile,Interceptor,3.1,112.0,HE blast-fragmentation,20.0,40.0,2024.0,Active,Ground/Ship,0.16,,Solid,Ground-based MICA,,Short Range,2020
IND008,Exocet,,France,India,Anti-Ship Cruise Missile,Strike,5.2,762.0,HE fragmentation,40.0,180.0,1980.0,Active,Sea/Air/Ground/Submarine,0.35,165,Solid/Turbojet,French-origin; various blocks,,Short Range,1980
PAK021,Exocet,AM-39,France,Pakistan,Anti-Ship Cruise Missile,Strike,4.69,670.0,HE,40.0,180.0,1985.0,Active,Air/Ship,0.35,165,Solid propellant,French-origin; on Atlantique aircraft and surface ships,,Short Range,1980
FRA017,Aster 15,,France/Europe,France/Europe,Surface-to-Air Missile,Interceptor,4.2,310.0,HE blast-fragmentation,30.0,50.0,2001.0,Active,Ship,0.18,,Solid,PAAMS system; naval air defense,,Short Range,2000
FRA018,Aster 30,,France/Europe,France/Europe,Surface-to-Air Missile,Interceptor,4.9,450.0,HE blast-fragmentation,120.0,150.0,2002.0,Active,Ship/Ground,0.18,,Solid,SAMP/T ground-based variant,,Short Range,2000
FRA012,Meteor,,France/Europe,France/Europe,Beyond Visual Range Air-to-Air Missile,AAM,3.7,190.0,HE blast-fragmentation,100.0,200.0,2016.0,Active,Air-launched,0.178,,Ramjet,Throttleable ducted rocket,,Short Range,2010
FRA008,SCALP-EG,Storm Shadow,France/UK,France/UK,Air-Launched Cruise Missile,Strike,5.1,1300.0,HE penetrating,290.0,560.0,2003.0,Active,Air-launched,0.48,450,Turbojet,Deep-strike conventional missile,,Medium Range,2000
IND001,Agni-I,,India,India,Short-Range Ballistic Missile,Strike,15.0,12000.0,"Conventional unitary or submunition, Nuclear",700.0,1200.0,2007.0,Active,Road/rail-mobile,1.0,1000,Single-stage solid,First Agni series missile,,Intermediate Range,2000
IND002,Agni-II,,India,India,Medium-Range Ballistic Missile,Strike,20.0,17000.0,Nuclear or HE,2000.0,3500.0,2004.0,Active,Road/rail-mobile,1.0,1000,Two-stage solid,Covers major targets in region,,Long Range,2000
IND003,Agni-III,,India,India,Intermediate-Range Ballistic Missile,Strike,16.7,48300.0,"Nuclear, possible conventional",3000.0,3500.0,2011.0,Active,"Rail-mobile, road-mobile",2.0,1500,Two-stage solid,Second strike capability,,Long Range,2010
IND007,Dhanush,,India,India,Ship-Launched Ballistic Missile,Strike,8.53,5600.0,"Nuclear, HE, submunitions, FAE, chemical",250.0,400.0,2010.0,Active,Ship-launched,1.0,750,Single-stage liquid,Naval version of Prithvi missile,,Medium Range,2010
IND011,Prithvi-I,,India,India,Short-Range Ballistic Missile,Strike,9.5,4600.0,"Unitary blast-fragmentation, submunitions, nuclear",150.0,150.0,1996.0,Obsolete,Road-mobile,1.0,1000,Single-stage liquid,First missile developed under IGMDP,,Short Range,1990
IND012,Prithvi-II,,India,India,Short-Range Ballistic Missile,Strike,9.5,4600.0,"Conventional unitary, submunition, nuclear",250.0,350.0,2003.0,Active,Road-mobile,1.0,750,Single-stage liquid,Enhanced range version,,Medium Range,2000
IRN030,AD-08 Majid,,Iran,Iran,Short-Range Air Defense,Interceptor,2.67,75.0,HE fragmentation,8.0,8.0,2020.0,Active,Ground,0.156,,Solid,Altitude 20m-6km; truck-mounted,,Short Range,2020
IRN031,Bavar-373,,Iran,Iran,Long-Range Surface-to-Air Missile,Interceptor,,,HE blast-fragmentation,300.0,300.0,2019.0,Active,Ground,0.7,,Solid,Indigenous S-300 equivalent,,Medium Range,2010
IRN027,Dehlavieh,9M133 Kornet copy,Iran,Iran,Anti-Tank Guided Missile,ATGM,1.2,,HEAT,5.5,5.5,2010.0,Active,Man-portable/Vehicle,,,Solid,Reverse-engineered Russian Kornet,,Short Range,2010
IRN005,Emad,,Iran,Iran,Medium-Range Ballistic Missile,Strike,16.0,,HE,1700.0,1700.0,2015.0,Active,Ground,,750,Liquid,Precision-guided Shahab-3 variant,,Intermediate Range,2010
IRN023,Fajr-3,,Iran,Iran,Artillery Rocket,Strike,5.2,,HE,43.0,43.0,1990.0,Active,Ground,0.23,45,Solid,333mm caliber; 12-round launcher,,Short Range,1990
IRN024,Falaq-1,,Iran,Iran,Artillery Rocket,Strike,2.5,,HE,10.0,10.0,1990.0,Active,Ground,0.24,50,Solid,240mm caliber,,Short Range,1990
IRN025,Falaq-2,,Iran,Iran,Artillery Rocket,Strike,2.5,,HE,10.0,10.0,2000.0,Active,Ground,0.33,,Solid,333mm caliber,,Short Range,2000
IRN010,Fateh-110,,Iran,Iran,Short-Range Ballistic Missile,Strike,9.0,,HE,300.0,300.0,2002.0,Active,Ground,0.61,550,Solid,Workhorse SRBM; multiple generations,,Medium Range,2000
IRN011,Fateh-313,,Iran,Iran,Short-Range Ballistic Missile,Strike,9.0,,HE,500.0,500.0,2015.0,Active,Ground,,380,Solid,Improved Fateh-110,,Medium Range,2010
IRN003,Fattah,,Iran,Iran,Hypersonic Ballistic Missile,Strike,,,HE,1400.0,1400.0,2023.0,Active,Ground,,,Solid,First Iranian hypersonic missile,,Intermediate Range,2020
IRN006,Ghadr/Ghadr-110,,Iran,Iran,Medium-Range Ballistic Missile,Strike,16.0,,HE,2000.0,2000.0,2007.0,Active,Ground,1.25,825,Liquid,Improved Shahab-3,,Intermediate Range,2000
IRN008,Haj Qasem,,Iran,Iran,Medium-Range Ballistic Missile,Strike,11.0,,HE,1400.0,1400.0,2020.0,Active,Ground,,500,Solid,Named after Qasem Soleimani,,Intermediate Range,2020
IRN015,Hormuz-2,,Iran,Iran,Anti-Ship Ballistic Missile,Strike,,,HE,300.0,300.0,2014.0,Active,Coastal,,600,Solid,Anti-radiation variant,,Medium Range,2010
IRN007,Kheibar/Kheibarshekan,Khorramshahr-4,Iran,Iran,Medium-Range Ballistic Missile,Strike,11.0,,HE,1450.0,2000.0,2022.0,Active,Ground,,1500,Solid,Solid-fuel missile,,Intermediate Range,2020
IRN002,Khorramshahr-4,Kheibar,Iran,Iran,Medium-Range Ballistic Missile,Strike,13.0,,HE,2000.0,2000.0,2023.0,Active,Ground,1.3,1650,Liquid,Largest warhead in Iranian arsenal,,Intermediate Range,2020
IRN020,Noor,,Iran,Iran,Anti-Ship Cruise Missile,Strike,6.38,715.0,HE,170.0,200.0,1991.0,Active,Ground/Ship/Air,0.36,165,Solid,Improved Chinese C-801/C-802,,Short Range,1990
IRN014,Persian Gulf/Hormuz-1,,Iran,Iran,Anti-Ship Ballistic Missile,Strike,,,HE semi-armor piercing,300.0,300.0,2011.0,Active,Coastal,,650,Solid,First-generation ASBM,,Medium Range,2010
IRN012,Qiam-1,,Iran,Iran,Short-Range Ballistic Missile,Strike,11.0,,HE,800.0,800.0,2010.0,Active,Ground,,750,Liquid,Finless design for rapid launch,,Medium Range,2010
IRN018,Quds-1,,Iran,Iran,Cruise Missile,Strike,6.0,,HE,600.0,600.0,2019.0,Active,Ground,,,Turbojet,Supplied to Houthis,,Medium Range,2010
IRN026,RAAD-T,,Iran,Iran,Anti-Tank Guided Missile,ATGM,1.0,11.0,HEAT,0.4,3.0,1997.0,Active,Man-portable/Vehicle,0.12,,Solid,Improved Soviet Malyutka,,Short Range,1990
IRN019,Ra'ad,SSN-4,Iran,Iran,Anti-Ship Cruise Missile,Strike,7.36,3000.0,HE,350.0,350.0,2007.0,Active,Ground/Ship,0.76,475,Turbojet + booster,Based on Chinese HY-4,,Medium Range,2000
IRN013,Raad-500,,Iran,Iran,Short-Range Ballistic Missile,Strike,8.0,,HE,500.0,500.0,2020.0,Active,Ground,,,Solid,Composite materials; cold-launch,,Medium Range,2020
IRN029,Saeghe,M47 Dragon derivative,Iran,Iran,Anti-Tank Guided Missile,ATGM,,,HEAT,3.0,4.0,2005.0,Active,Man-portable,,,Solid,Improvised Dragon copy,,Short Range,2000
IRN032,Sayyad-2,,Iran,Iran,Surface-to-Air Missile,Interceptor,,,HE blast,60.0,100.0,2013.0,Active,Ground,0.7,,Solid,Reverse-engineered SM-1,,Short Range,2010
IRN033,Sayyad-3,,Iran,Iran,Surface-to-Air Missile,Interceptor,,,HE blast,150.0,200.0,2016.0,Active,Ground,0.7,,Solid,Improved Sayyad-2,,Short Range,2010
IRN034,Sayyad-4,,Iran,Iran,Surface-to-Air Missile,Interceptor,,,HE blast,300.0,300.0,2019.0,Active,Ground,0.7,,Solid,For Bavar-373; two-stage,,Medium Range,2010
IRN035,Sayyad-4B,,Iran,Iran,Surface-to-Air Missile,Interceptor,,,HE blast,400.0,400.0,2025.0,Active,Ground,0.7,,Two-stage solid,Latest Sayyad variant,,Medium Range,2020
IRN001,Sejjil,,Iran,Iran,Medium-Range Ballistic Missile,Strike,18.0,,HE,2000.0,2500.0,2008.0,Active,Road-mobile,,1500,Solid,High-speed solid-fuel missile,,Intermediate Range,2000
IRN021,Shahab-1,,Iran,Iran,Short-Range Ballistic Missile,Strike,10.0,,HE,300.0,300.0,1985.0,Active,Ground,0.88,1000,Liquid,Based on Scud-B,,Medium Range,1980
